This table is found at TSOProtocolsD_base+0x5b9b8 in TSO Pre-Alpha.

0x09736027: GZCLSID_cTSOTopicUpdateMessage
0x09739490: kSUBCMDID_TSOServerLoginRequest
0x0973E60F: kGZIID_cIAllocDeviceResource
0x09756566: GZIID_cITSOObjectModuleAggregateUserInterface
0x0975656C: kDefaultAggregateID
0x0975656D: GZCLSID_cTSOObjectModuleAggregateUserInterfaceNullView
0x09756760: GZIID_cITSOObjectModuleAggregateTest
0x09756765: kDefaultAggregateID
0x09756850: GZIID_cITSOObjectModuleAggregateWorld
0x09756854: kDefaultAggregateID
0x09756855: GZCLSID_cTSOObjectModuleAggregateWorldClient
0x09762EA5: GZCLSID_cTSOInventoryProduct
0x09762EAB: GZIID_cITSOInventoryProduct
0x09762F52: GZCLSID_cTSOTextureAssetKey
0x09762F5C: GZIID_cITSOTextureAssetKey
0x09764F14: GZIID_cTSODataService
0x09764F94: GZCLSID_cTSOInventoryCatalog
0x09764F99: GZIID_cITSOInventoryCatalog
0x097CF62F: GZCLSID_cTSOMeshAssetKey
0x097CF634: GZIID_cITSOMeshAssetKey
0x097F4FDB: kGZIID_cIGZPerforceClientUser
0x097F4FE7: kGZCLSID_cGZPerforceClientUser
0x0980C954: GZCLSID_cTSOHouseAmbientSoundSettings
0x09833852: GZIID_cDDLSourceCodeGenerator
0x098742FB: GZCLSID_cITSOMeshTexture
0x098A0A67: kMSGID_PluginChangeGameMenuName
0x098B1054: kGZIID_cPrivateRecordStream
0x098DC972: kID
0x098DC973: kID
0x098DC982: kID
0x098DC992: kID
0x098DCA72: kID
0x098E16C3: kMSGID_TellSimulatorRMInviteFailed
0x0990E859: GZCLSID_cTSOChangeObjectIterator
0x09934C14: GZIID_cITSOCheatCallback
0x0993ACF0: kCTRLID_CheatEntry
0x09944F96: GZPROBEID_cMoneyInteraction
0x09944F97: GZPROBEID_cSimLetters
0x0994C702: kWINPARAM_CheatText
0x09973B0F: kMSGID_TellSimulatorKickoutAvatarFailed
0x0998C15C: GZIID_cIDBGetSumOfVisitorBonusByID_Request
0x0998D7E9: kGZIID_cIDirect3DVertexBufferQINoAddRef
0x0998DBD2: kGZIID_cIDirect3DBaseTextureQINoAddRef
0x099DA5B8: kMSGID_MessageHouseOccupants
0x09A2E6DA: kDBGetDebitCreditTask_Query
0x09A2E6DD: kDBInsertGenericTask_Query
0x09A2E6E0: kDBGetSumOfVisitorBonusByID_Query
0x09B1B574: kGZIID_cIVertexShaderDXQINoAddRef
0x0F000000: kDefBtnMASK
0x10000000: kTipInfoFlagPlaceBottomRight
0x10002001: kCTRLID_GUID
0x10002002: kCTRLID_Name
0x10002003: kCTRLID_labelGUID
0x10002004: kCTRLID_labelName
0x1054B7D5: GZIID_cIGZLanguageUtility
0x106077D2: GZIID_cIGZSndSys
0x106077D3: GZCLSID_cOldGZSndSys
0x107C9302: GZIID_cIGZSoundRenderClient
0x1136D2BF: GZIID_cICrDMMessage
0x1136D2E4: GZIID_cIDMMessage
0x122A94F2: GZCLSID_cCrDMTestObject
0x12345678: kUnassignedPriorityMagicNumber
0x1237E1CF: kMSGID_TestMessage
0x125194E5: GZCLSID_cCrDMStandardMessage
0x127C44F1: GZIID_cIPopVolumeTestObject
0x127C94F2: GZIID_cIPopAccuracyTestObject
0x12CF2351: kGZIID_cIGZLineGraph
0x130E27B7: kCheatCodeMessageDisabled
0x13C492E5: kConnectionEstablished
0x13C492E6: kConnectionTerminated
0x1423208A: kPopularityTestAppSysServiceId
0x1436E0BE: GZIID_cIPopRecordContainer
0x144B94F2: GZCLSID_cConfigurePopularityVolumeTestCmd
0x165C83AD: kGZIID_cIGZPainterString
0x1677074E: kGZIID_cIGZDbgBtnMgr
0x16770A19: kGZIID_cIGZDbgBtnInfo
0x16771832: kGZCMDID_cGZShowSegViewCmd
0x16799719: kGZIID_cIGZWinProcViewString
0x167F0BBB: kGZCLSID_cGZWinProcAllProj
0x168188F6: kGZIID_cIGZWinMenu2
0x1682AEBF: kGZIID_cIGZStrStrMap
0x1682EB22: kGZIID_cIGZWinProcInputBox
0x168836B1: kGZCLSID_cGZWinProcNewSeg
0x168844DC: kENUMID_PopulateTypeCombo
0x16884B3C: kCTRLID_OK
0x168999AE: kGZIID_cIGZGUIDNode
0x169A9AF3: kGZCLSID_cGZWinProcResDescMap
0x169BE175: kPARAM_BuddyLabelID
0x16B0E7CE: kGZCMDID_cGZCmdOpenSegDlg
0x16B7830D: kDIALOG_OK
0x16BF9E60: kGZIID_cIGZUnkLess
0x16BF9EA9: kLESSID_TypeInfo
0x16CCE0E5: kMENULOOP_Cancelled
0x16D61FFF: kDIALOG_OK
0x16D9E136: kPARAM_ResDescs
0x16D9E137: kPARAM_GroupDescs
0x16D9E138: kPARAM_SegGZCLSID
0x16D9E139: kPARAM_DefaultGroupID
0x16DC72D7: kGZIID_cIGZTokenToString
0x16EB5E37: kPARAM_Viewers
0x16EB92EA: kTYPE_Uint32
0x16EC65B3: kTYPE_Object
0x16EECEC2: kGZIID_cIGZWinMultiBMP
0x16F3769E: kPARAM_MsgBoxFlags
0x16F38F61: kPARAM_ReturnKeyID
0x16F43F4E: kWCMBMPID_MsgBoxIcons
0x16F87286: kPARAM_MRUListDataDir
0x16F872A7: kMENUITEM_Plugins
0x16FAAC97: kGZIID_cIGZWinProcStrListBox
